model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs
Mean Value,Y52,124.62,76.68,109219.65,0
Random Walk,Y52,19.16,17.3,12146.92,0
Arima,Y52,2.8,2.75,4225.3,0
Theta,Y52,183.5,95.7,135428.0,0
Prophet,Y52,171.74,92.37,131052.6,0
Last Value,Y53,10.41,11.46,10601.0,0
Mean Value,Y53,132.15,79.51,83321.29,0
Random Walk,Y53,15.32,14.26,8458.56,0
Arima,Y53,68.81,125.18,120105.02,0
Theta,Y53,177.83,94.12,98334.0,0
Prophet,Y53,179.68,94.65,98765.29,0
Last Value,Y54,33.67,27.69,21893.0,0
Mean Value,Y54,135.85,80.79,58635.41,0
Random Walk,Y54,24.88,21.39,14783.77,0
Arima,Y54,8.36,7.73,5655.49,0
Theta,Y54,185.43,96.22,69260.0,0
Prophet,Y54,181.29,95.07,68607.26,0
Last Value,Y55,34.2,28.36,6709.28,0
Mean Value,Y55,135.22,80.59,17916.87,0
Random Walk,Y55,25.41,22.02,4489.63,0
Arima,Y55,2.07,2.04,505.95,0
Theta,Y55,184.78,96.04,21227.21,0
Prophet,Y55,179.91,94.69,20966.68,0
Last Value,Y56,51.42,39.55,51010.0,0
Mean Value,Y56,156.21,87.63,104349.47,0
Random Walk,Y56,50.3,38.69,50240.59,0
Arima,Y56,7.17,6.73,8567.03,0
Theta,Y56,194.18,98.52,116398.0,0
Prophet,Y56,197.69,99.49,117656.5,0
Last Value,Y57,12.31,11.51,1605.0,0
Mean Value,Y57,91.33,62.68,8613.48,0
Random Walk,Y57,21.65,19.08,2673.11,0
Arima,Y57,10.02,10.71,915.6,0
Theta,Y57,147.08,84.75,11632.8,0
Prophet,Y57,128.44,78.19,10742.97,0
Last Value,Y58,10.84,10.24,6914.9,0
Mean Value,Y58,50.94,40.57,27191.63,0
Random Walk,Y58,10.13,9.59,6478.99,0
Arima,Y58,8.4,8.03,5421.33,0
Theta,Y58,114.98,73.01,48855.2,0
Prophet,Y58,16.75,15.42,10369.25,0
Last Value,Y59,4.49,4.38,2765.8,0
Mean Value,Y59,77.03,55.61,34910.86,0
Random Walk,Y59,15.54,14.13,8947.65,0
Arima,Y59,4.45,4.34,2741.61,0
Theta,Y59,160.81,89.1,55945.9,0
Prophet,Y59,138.28,81.56,51192.57,0
Last Value,Y60,6.19,5.97,3860.0,0
Mean Value,Y60,41.96,34.67,22169.0,0
Random Walk,Y60,4.78,4.5,2925.03,0
Arima,Y60,11.24,10.54,6807.42,0
Theta,Y60,79.32,56.69,36137.3,0
Prophet,Y60,3.81,3.89,1872.04,0
Last Value,Y61,16.78,15.39,11079.4,0
Mean Value,Y61,84.76,59.5,42363.29,0
Random Walk,Y61,17.34,15.82,11401.0,0
Arima,Y61,18.4,16.75,12053.15,0
Theta,Y61,181.24,101.32,72406.3,0
Prophet,Y61,144.9,83.89,59620.82,0
Last Value,Y62,44.28,34.41,37693.5,0
Mean Value,Y62,108.06,69.63,69915.74,0
Random Walk,Y62,53.07,39.57,43174.24,0
Arima,Y62,47.73,36.79,39878.72,0
Theta,Y62,153.77,86.63,85703.4,0
Prophet,Y62,154.31,87.03,85592.87,0
Last Value,Y63,16.01,14.75,10509.0,0
Mean Value,Y63,105.86,69.21,48837.85,0
Random Walk,Y63,13.79,12.81,9108.25,0
Arima,Y63,6.68,6.42,2749.25,0
Theta,Y63,164.96,90.4,63747.0,0
Prophet,Y63,149.27,85.47,60274.7,0
Last Value,Y64,13.38,14.67,9693.5,0
Mean Value,Y64,42.41,34.85,24244.97,0
Random Walk,Y64,11.18,12.13,7998.58,0
Arima,Y64,19.36,21.74,14607.9,0
Theta,Y64,89.22,61.55,42450.4,0
Prophet,Y64,88.09,61.07,42239.46,0
Last Value,Y65,12.86,14.34,7269.1,0
Mean Value,Y65,48.47,38.78,21599.57,0
Random Walk,Y65,13.63,15.11,7240.26,0
Arima,Y65,15.05,16.9,8654.18,0
Theta,Y65,111.92,71.7,39485.0,0
Prophet,Y65,9.86,9.83,5325.73,0
Last Value,Y66,13.74,12.66,9033.0,0
Mean Value,Y66,52.5,41.48,28831.1,0
Random Walk,Y66,9.25,9.89,5507.4,0
Arima,Y66,4.19,4.05,2514.87,0
Theta,Y66,115.38,73.17,50535.9,0
Prophet,Y66,7.1,6.83,3242.08,0
Last Value,Y67,10.33,9.78,6575.4,0
Mean Value,Y67,67.04,50.19,33452.86,0
Random Walk,Y67,11.27,10.57,7129.6,0
Arima,Y67,20.79,18.63,12533.47,0
Theta,Y67,141.21,82.77,55115.4,0
Prophet,Y67,131.29,79.24,52782.4,0
Last Value,Y68,6.42,6.13,4044.6,0
Mean Value,Y68,64.19,48.56,31158.65,0
Random Walk,Y68,28.94,24.31,15930.98,0
Arima,Y68,12.03,11.24,7327.85,0
Theta,Y68,136.57,81.08,52003.6,0
Prophet,Y68,93.48,63.48,40706.96,0
Last Value,Y69,11.19,10.43,7254.5,0
Mean Value,Y69,44.41,36.25,24546.84,0
Random Walk,Y69,10.21,9.53,4363.42,0
Arima,Y69,7.15,6.81,4024.62,0
Theta,Y69,77.73,55.84,37386.5,0
Prophet,Y69,2.07,2.06,1409.15,0
Last Value,Y70,17.29,15.61,11667.6,0
Mean Value,Y70,54.41,42.6,30860.08,0
Random Walk,Y70,24.03,20.04,15319.86,0
Arima,Y70,19.27,17.22,12854.82,0
Theta,Y70,143.02,83.39,59730.9,0
Prophet,Y70,133.82,80.12,57572.29,0
Last Value,Y71,9.65,9.42,5986.8,0
Mean Value,Y71,27.94,24.13,15541.8,0
Random Walk,Y71,10.01,10.19,4486.24,0
Arima,Y71,19.99,17.7,11631.88,0
Theta,Y71,120.12,75.05,46603.0,0
Prophet,Y71,115.56,73.12,45659.44,0
Last Value,Y72,1.94,1.91,1175.8,0
Mean Value,Y72,73.41,53.7,32854.19,0
Random Walk,Y72,10.01,9.41,5766.31,0
Arima,Y72,10.4,11.12,6809.86,0
Theta,Y72,141.92,83.0,50772.1,0
Prophet,Y72,136.28,81.04,49581.03,0
Last Value,Y73,6.35,6.31,3859.3,0
Mean Value,Y73,10.48,9.73,6188.72,0
Random Walk,Y73,14.52,15.83,9254.74,0
Arima,Y73,6.72,6.79,4085.07,0
Theta,Y73,41.86,32.04,20318.8,0
Prophet,Y73,59.57,45.82,27891.74,0
Last Value,Y74,4.48,4.35,2762.8,0
Mean Value,Y74,51.43,40.9,25687.68,0
Random Walk,Y74,16.5,14.94,9446.86,0
Arima,Y74,3.89,3.79,2407.52,0
Theta,Y74,148.02,85.0,53360.2,0
Prophet,Y74,89.22,61.69,38722.46,0
Last Value,Y75,6.9,7.19,3976.8,0
Mean Value,Y75,21.11,19.06,10716.36,0
Random Walk,Y75,12.3,13.3,7361.53,0
Arima,Y75,9.94,10.53,5837.34,0
Theta,Y75,63.25,48.01,26929.5,0
Prophet,Y75,54.64,42.89,24058.78,0
Last Value,Y76,16.03,17.64,8819.3,0
Mean Value,Y76,33.84,28.85,14889.12,0
Random Walk,Y76,3.78,3.89,959.46,0
Arima,Y76,18.83,21.06,10544.72,0
Theta,Y76,110.85,71.3,36542.5,0
Prophet,Y76,92.4,63.16,32387.95,0
Last Value,Y77,6.6,6.31,4152.8,0
Mean Value,Y77,74.79,54.41,34877.65,0
Random Walk,Y77,8.34,7.9,4867.83,0
Arima,Y77,2.33,2.37,919.0,0
Theta,Y77,156.45,87.78,56170.2,0
Prophet,Y77,137.87,81.59,52249.81,0
Last Value,Y78,12.13,11.3,7611.88,0
Mean Value,Y78,116.21,73.48,48319.32,0
Random Walk,Y78,17.02,15.34,10320.19,0
Arima,Y78,14.65,13.46,9061.06,0
Theta,Y78,191.71,97.88,64280.95,0
Prophet,Y78,167.78,91.14,59875.07,0
Last Value,Y79,16.49,14.63,5348.6,0
Mean Value,Y79,90.06,61.85,20582.6,0
Random Walk,Y79,15.77,13.77,4693.37,0
Arima,Y79,54.25,40.79,14236.58,0
Theta,Y79,185.87,96.33,31566.02,0
Prophet,Y79,154.17,86.78,28561.03,0
Last Value,Y80,25.58,22.37,6435.3,0
Mean Value,Y80,31.69,27.07,7734.35,0
Random Walk,Y80,16.6,15.64,2067.86,0
Arima,Y80,18.78,16.69,4863.68,0
Theta,Y80,173.68,93.22,25904.1,0
Prophet,Y80,122.32,75.87,21170.93,0
Last Value,Y81,5.28,5.14,1415.41,0
Mean Value,Y81,105.83,69.21,19014.16,0
Random Walk,Y81,7.65,8.01,2197.44,0
Arima,Y81,8.72,9.3,2457.47,0
Theta,Y81,197.5,100.66,27652.21,0
Prophet,Y81,162.56,89.59,24616.72,0
Last Value,Y82,39.58,32.37,33386.12,0
Mean Value,Y82,115.22,72.96,72268.17,0
Random Walk,Y82,66.33,47.97,49503.74,0
Arima,Y82,93.33,62.45,63196.43,0
Theta,Y82,190.36,97.53,95731.76,0
Prophet,Y82,168.52,91.36,89858.41,0
Last Value,Y83,9.83,9.28,5865.8,0
Mean Value,Y83,117.65,74.06,45918.69,0
Random Walk,Y83,6.05,6.3,3152.18,0
Arima,Y83,14.64,13.46,8502.31,0
Theta,Y83,194.79,98.68,61131.05,0
Prophet,Y83,169.76,91.72,56827.96,0
Last Value,Y84,1.24,1.23,279.0,0
Mean Value,Y84,2.43,2.39,542.83,0
Random Walk,Y84,1.44,1.43,216.42,0
Arima,Y84,1.23,1.22,278.46,0
Theta,Y84,6.3,6.07,1368.0,0
Prophet,Y84,1.86,1.83,341.84,0
Last Value,Y85,32.07,27.22,3657.0,0
Mean Value,Y85,74.72,54.2,7107.3,0
Random Walk,Y85,23.93,21.13,2824.74,0
Arima,Y85,40.05,33.02,4395.09,0
Theta,Y85,133.83,78.72,10395.0,0
Prophet,Y85,71.5,52.47,6883.69,0
Last Value,Y86,9.38,8.95,1511.0,0
Mean Value,Y86,37.5,31.39,5220.68,0
Random Walk,Y86,18.95,17.15,2875.55,0
Arima,Y86,6.1,6.1,991.67,0
Theta,Y86,34.37,28.48,4172.0,0
Prophet,Y86,35.93,30.31,5034.82,0
Last Value,Y87,9.39,8.9,6040.0,0
Mean Value,Y87,42.86,35.04,22847.76,0
Random Walk,Y87,15.5,13.9,9455.13,0
Arima,Y87,9.39,8.9,6040.27,0
Theta,Y87,135.45,80.71,51808.0,0
Prophet,Y87,9.4,10.02,5810.26,0
Last Value,Y88,40.99,67.49,17710.0,0
Mean Value,Y88,35.39,53.68,14226.47,0
Random Walk,Y88,29.01,44.38,8355.05,0
Arima,Y88,40.99,67.49,17708.98,0
Theta,Y88,53.15,49.27,17390.0,0
Prophet,Y88,55.14,95.4,27376.92,0
Last Value,Y89,106.15,62.03,21222.0,0
Mean Value,Y89,104.89,78.02,20269.49,0
Random Walk,Y89,112.15,68.29,21491.71,0
Arima,Y89,179.0,95.61,26173.52,0
Theta,Y89,163.7,88.66,24405.0,0
Prophet,Y89,87.75,129.13,17290.03,0
Last Value,Y90,11.92,12.5,4350.0,0
Mean Value,Y90,46.96,37.73,13740.59,0
Random Walk,Y90,10.06,10.62,3289.59,0
Arima,Y90,10.93,10.46,3959.34,0
Theta,Y90,182.46,104.66,36770.0,0
Prophet,Y90,59.63,45.65,16546.11,0
Last Value,Y91,6.25,5.99,3100.0,0
Mean Value,Y91,53.13,41.94,21228.57,0
Random Walk,Y91,11.15,10.14,5157.19,0
Arima,Y91,1.91,1.91,891.58,0
Theta,Y91,100.06,66.68,33700.0,0
Prophet,Y91,15.04,13.7,7015.42,0
Last Value,Y92,19.46,22.63,1701.88,0
Mean Value,Y92,45.77,61.69,4872.53,0
Random Walk,Y92,14.78,15.2,1101.29,0
Arima,Y92,25.01,30.14,2292.4,0
Theta,Y92,100.98,66.78,5621.92,0
Prophet,Y92,73.06,119.93,9596.51,0
Last Value,Y93,2.17,2.19,1039.21,0
Mean Value,Y93,1.55,1.53,736.83,0
Random Walk,Y93,4.87,5.06,2236.55,0
Arima,Y93,1.63,1.64,777.99,0
Theta,Y93,8.62,8.08,3886.98,0
Prophet,Y93,15.53,14.39,6854.2,0
Last Value,Y94,3.42,3.33,1406.59,0
Mean Value,Y94,3.72,3.62,1528.38,0
Random Walk,Y94,1.17,1.18,227.23,0
Arima,Y94,2.07,2.03,864.5,0
Theta,Y94,9.66,9.16,3837.42,0
Prophet,Y94,2.27,2.27,858.03,0
Last Value,Y95,5.01,4.82,2027.79,0
Mean Value,Y95,4.27,4.39,1755.51,0
Random Walk,Y95,2.65,2.6,934.21,0
Arima,Y95,5.24,5.04,2120.16,0
Theta,Y95,5.61,5.7,2309.44,0
Prophet,Y95,5.06,5.2,2089.28,0
Last Value,Y96,9.1,8.59,4263.64,0
Mean Value,Y96,14.43,13.35,6552.94,0
Random Walk,Y96,6.92,6.59,3184.62,0
Arima,Y96,9.21,8.69,4310.26,0
Theta,Y96,5.37,5.19,2581.62,0
Prophet,Y96,8.92,8.46,4181.17,0
Last Value,Y97,2.09,2.06,813.17,0
Mean Value,Y97,2.71,2.73,1055.29,0
Random Walk,Y97,1.74,1.75,601.96,0
Arima,Y97,2.03,2.0,792.32,0
Theta,Y97,7.51,7.29,2862.56,0
Prophet,Y97,6.07,5.79,2284.62,0
Last Value,Y98,3.96,3.87,2121.74,0
